BoMAll,BoMAllNoAZ,TeoOnly,TeoOnlyNoAZ
150,150,150,850
150,150,150,850
150,150,150,887.5
150,150,150,1075
150,150,150,1075
150,150,150,1075
150,150,150,1075
150,150,150,1075
150,150,175,1075
150,150,175,1275
150,150,175,1275
150,150,175,1275
150,150,175,1475
150,150,175,1570
150,150,175,1770
150,150,175,NA
150,150,175,NA
150,150,187.5,NA
150,150,200,NA
150,150,200,NA
150,150,200,NA
150,150,200,NA
150,150,200,NA
150,150,200,NA
150,150,200,NA
150,150,200,NA
150,150,200,NA
150,150,200,NA
150,150,200,NA
150,150,200,NA
150,150,200,NA
150,150,200,NA
150,150,200,NA
150,150,200,NA
150,150,200,NA
150,150,200,NA
150,150,200,NA
150,150,225,NA
150,150,225,NA
150,150,262.5,NA
150,150,262.5,NA
150,150,262.5,NA
150,150,262.5,NA
150,150,262.5,NA
150,150,262.5,NA
150,150,262.5,NA
150,150,262.5,NA
150,150,262.5,NA
150,150,262.5,NA
150,150,262.5,NA
150,150,262.5,NA
150,150,262.5,NA
150,150,262.5,NA
150,150,262.5,NA
150,150,262.5,NA
150,150,262.5,NA
150,150,262.5,NA
150,150,262.5,NA
150,150,262.5,NA
150,150,262.5,NA
150,150,270,NA
150,150,270,NA
150,150,270,NA
150,150,270,NA
150,150,270,NA
150,150,270,NA
150,150,270,NA
150,150,270,NA
150,150,270,NA
150,150,350,NA
150,150,350,NA
150,150,350,NA
150,150,350,NA
150,150,350,NA
150,150,350,NA
150,150,362.5,NA
150,150,362.5,NA
150,150,362.5,NA
150,150,362.5,NA
150,150,362.5,NA
150,150,362.5,NA
150,150,362.5,NA
150,150,362.5,NA
150,150,362.5,NA
150,150,362.5,NA
150,150,362.5,NA
150,150,362.5,NA
150,150,362.5,NA
150,150,362.5,NA
150,150,362.5,NA
150,150,362.5,NA
150,150,400,NA
150,150,400,NA
150,150,400,NA
150,150,400,NA
150,150,400,NA
150,150,400,NA
150,150,400,NA
150,150,400,NA
185,250,400,NA
185,250,400,NA
185,250,400,NA
185,250,400,NA
185,250,400,NA
185,250,400,NA
185,250,400,NA
185,250,400,NA
185,250,400,NA
185,250,400,NA
185,250,400,NA
185,250,400,NA
185,250,400,NA
185,250,400,NA
185,250,495,NA
185,250,495,NA
185,250,495,NA
185,250,495,NA
185,250,495,NA
185,250,495,NA
185,250,495,NA
185,250,495,NA
185,250,495,NA
185,250,495,NA
185,250,495,NA
185,250,495,NA
185,250,495,NA
185,250,495,NA
185,250,495,NA
185,250,495,NA
185,250,495,NA
185,250,495,NA
185,250,587.5,NA
185,250,587.5,NA
185,250,587.5,NA
185,250,587.5,NA
185,250,587.5,NA
185,250,587.5,NA
185,250,587.5,NA
185,250,587.5,NA
185,250,587.5,NA
185,250,587.5,NA
185,250,587.5,NA
185,250,587.5,NA
185,250,587.5,NA
185,250,587.5,NA
185,250,587.5,NA
185,250,587.5,NA
185,250,587.5,NA
185,250,587.5,NA
185,250,587.5,NA
185,250,587.5,NA
185,250,587.5,NA
185,250,587.5,NA
185,250,587.5,NA
185,250,587.5,NA
185,250,600,NA
185,250,600,NA
185,250,600,NA
185,250,757.5,NA
185,250,787.5,NA
185,250,787.5,NA
185,250,787.5,NA
185,250,787.5,NA
185,250,787.5,NA
185,250,787.5,NA
185,250,787.5,NA
185,250,787.5,NA
185,250,787.5,NA
185,250,850,NA
185,250,850,NA
185,250,850,NA
185,250,887.5,NA
185,250,1075,NA
185,250,1075,NA
185,250,1075,NA
185,250,1075,NA
185,250,1075,NA
185,250,1075,NA
185,250,1275,NA
185,250,1275,NA
185,250,1275,NA
185,250,1475,NA
185,250,1570,NA
185,250,1770,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,250,NA,NA
185,270,NA,NA
185,270,NA,NA
185,270,NA,NA
185,270,NA,NA
185,275,NA,NA
185,275,NA,NA
185,275,NA,NA
185,275,NA,NA
185,275,NA,NA
185,275,NA,NA
185,275,NA,NA
185,275,NA,NA
185,275,NA,NA
185,275,NA,NA
185,275,NA,NA
185,275,NA,NA
185,275,NA,NA
185,275,NA,NA
185,275,NA,NA
185,275,NA,NA
185,275,NA,NA
185,350,NA,NA
185,350,NA,NA
185,350,NA,NA
185,350,NA,NA
185,350,NA,NA
185,350,NA,NA
185,350,NA,NA
185,350,NA,NA
185,350,NA,NA
185,350,NA,NA
185,350,NA,NA
185,350,NA,NA
185,350,NA,NA
185,350,NA,NA
185,350,NA,NA
185,350,NA,NA
185,350,NA,NA
185,350,NA,NA
185,350,NA,NA
185,350,NA,NA
185,350,NA,NA
185,350,NA,NA
185,350,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,400,NA,NA
185,450,NA,NA
185,450,NA,NA
185,450,NA,NA
185,450,NA,NA
185,450,NA,NA
185,450,NA,NA
185,450,NA,NA
185,450,NA,NA
185,450,NA,NA
185,450,NA,NA
185,450,NA,NA
185,450,NA,NA
185,450,NA,NA
185,450,NA,NA
185,450,NA,NA
185,450,NA,NA
185,450,NA,NA
185,450,NA,NA
185,450,NA,NA
185,450,NA,NA
185,450,NA,NA
185,450,NA,NA
185,450,NA,NA
185,450,NA,NA
185,450,NA,NA
185,450,NA,NA
185,450,NA,NA
185,450,NA,NA
185,450,NA,NA
185,450,NA,NA
185,450,NA,NA
185,450,NA,NA
185,450,NA,NA
185,450,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
