"site","begin","end"
"Ida Jean","1050","1275"
"Iyanbito Great Kiva","1000","1150"
"Kearn's Site","800","1250"
"Kin Bineola","825","1175"
"Kin Cheops I","1050","1200"
"Kin Hochoi","1000","1150"
"Kin Indian Ruin","1050","1150"
"Kin Kletso","1075","1175"
"Kin Klizhin","1000","1150"
"Kin Nahasbas","875","1150"
"Kin Sani","1000","1150"
"Kin Tliish","1025","1150"
"Kin Ya'a","950","1150"
"LA 100280","1050","1150"
"LA 115436","1050","1175"
"LA 12573 A","875","1150"
"LA 126820","875","1050"
"LA 126862","900","1150"
"LA 17226","875","1150"
"LA 2520","1175","1275"
"LA 40081","550","925"
"LA 40457","550","1150"
"LA 40631","875","1125"
"LA 47526","1050","1150"
"LA 60002","1000","1250"
"LA 60006","1075","1150"
"LA 60022","1050","1250"
"LA 67158","950","1150"
"LA 7603","875","1125"
"LA 8244","875","1125"
"LA 82742","1100","1300"
"LA 8620","1100","1250"
"LA 98500","800","925"
"Lake Valley","850","1175"
"Lancaster","1050","1250"
"Loma Enebro","700","925"
"Longacre 15","1050","1275"
"Los Veteados Great Kiva","1000","1300"
"Lower Cow Canyon","1175","1250"
"Lower Greenlee","900","1150"
"Lower Kin Nizhoni","875","1150"
"Lowry","975","1175"
"LZ 1090 Group","550","850"
"Mancos Canyon","800","1175"
"Martin Site 1","800","925"
"May Canyon","800","925"
"McCreery","1050","1150"
"McPhee Village","800","1050"
"Mesa Tierra","1000","1275"
"Millard","800","925"
"Mineral Creek","1050","1275"
"Mitchell Springs","750","1175"
"Mitten Rock","800","1125"
"Montezuma Village North","1100","1275"
"Montezuma Village South","1000","1250"
"Morefield","800","1175"
"Muddy Water","900","1150"
"NA 8800","550","950"
"Navajo Springs","1000","1150"
"Navajo Territorial Gov't Complex","850","925"
"North Lowry","975","1175"
"Oak Wash--Zuni","1050","1150"
"Owen Site","1075","1175"
"Padilla Well","850","1150"
"Parker Site","875","1050"
"Peach Springs","900","1150"
"Penasco Blanco","850","1150"
"Pierre's El Faro","1000","1125"
"Pierre's House A","1050","1250"
"Pierre's House B/C","1000","1150"
"Point Pueblo","850","1225"
"Pueblo Alto","1025","1150"
"Pueblo Bonito","875","1150"
"Pueblo Cerrito","1050","1300"
"Pueblo de los Golondrinas","800","925"
"Pueblo del Arroyo","1050","1175"
"Ram Mesa","875","1150"
"Recapture GK","875","1050"
"Red Knobs","800","1175"
"Red Pottery Mound","800","925"
"Red Willow","1000","1150"
"Reservoir--Northern San Juan","975","1175"
"Rincon Great Kiva","800","1175"
"Sambrito Village","800","1750"
"San Mateo","925","1150"
"Sanders GH","875","1150"
"Sanostee","875","1125"
"Singing Shelter","800","925"
"Skull Site","1000","1300"
"Springstead","850","1150"
"Squaw Springs","875","1250"
"Standing Rock","1000","1150"
"Sundown","1050","1175"
"Teec Nos Pos","975","1250"
"The Twins Northeast","850","1150"
"Three Kiva Ruin","800","1275"
"Tla Kii","1150","1275"
"Tocito North","875","1125"
"Tocito South","1025","1150"
"Toh La Kai","1050","1175"
"Toyee","1000","1150"
"Tse Bee Kintsoh","1050","1150"
"Tse Chizzi","1050","1175"
"Tse La Vie","1000","1175"
"Tse Lichii","1050","1225"
"Tseyatoh","1000","1300"
"Tsin Kletzin","1050","1150"
"Twin Lakes","1050","1300"
"Una Vida","875","1150"
"Upper Kin Klizhin","1000","1150"
"Upper Kin Nizhoni","875","1100"
"Vidal Canyon","900","1150"
"Wallace Ruin","1000","1250"
"Wancura-Johnson GK","800","925"
"Whirlwind House","1000","1125"
"Whitewater","1000","1150"
"Willow Canyon--San Juan Basin","800","1000"
"Wolye Adin","750","1200"
"Whipporwill","1000","1175"
"Yellow Jacket","1000","1275"
"Yucca House","1175","1250"
"Escalante GH","1000","1175"
"LA 35420","900","1150"
"LA 40082","1050","1150"
"Salt Point","700","1750"
"Dutch Canal","850","1450"
"Gravel Pit Ruin","800","975"
"NA 8044","1025","1200"
"LA 102390","1200","1300"
"LA 103458","900","1150"
"LA 145983","550","850"
"LA 89443","550","1050"
"AZ-P-52-8-NN","1050","1150"
"Cerritos de Jaspe GK","1050","1175"
"Andrews Great Kiva NM","875","1050"
"HST Great Kiva","1000","1175"
"Sand Canyon Pueblo","1175","1275"
"Woods Canyon Pueblo","1050","1250"
"Seven Towers","1100","1250"
"Bass Complex","975","1250"
"Rich's Ruin","975","1250"
"Spring Site","1250","1300"
"Kin Bineola Great Kiva 2","875","1100"
"Mud Springs--Northern San Juan","1050","1250"
"Haystack Great Kiva 2","875","1100"
"NA 8013","850","1150"
"NA 8014","850","1100"
"Prater Village","975","1175"
"Whites Canyon Pueblo","925","1175"
"34-plex Complex","975","1250"
"Sacred Ridge","700","875"
"Upper Battleship Rock Pueblo","975","1250"
"Farmer Complex","1050","1250"
"Aztec North","1000","1250"
"Gillentine Site","1000","1175"
"San Juan Biwall","575","1250"
"Canal Creek Great Kiva","1175","1250"
"Battleship Rock Pueblo","875","1175"
"Shields Pueblo","975","1250"
"Bowman Site East","900","1150"
"Dye Wash","1050","1175"
"G Wash","1300","1400"
"Canyon Day Pueblo","1300","1400"
"Turkey Creek Waterline Pueblo","1100","1400"
"Navajo Bill Tank","1325","1450"
"Bonito Creek Pueblo","1175","1300"
"FA45002","1275","1400"
"Amos Spring Pueblo","1150","1450"
"Lemeva","1375","1450"
"Putskovi","1050","1300"
"Paqoltsomo","1100","1250"
"Nakyaovi","1150","1300"
"White Spring Ruin","1150","1300"
"Trosovi","1150","1275"
"Star Butte","1200","1300"
"Bell Butte","1200","1300"
"Kite Site (Hopi)","1200","1300"
"Paviovi","1200","1300"
"Babe In Cradle Site","1200","1300"
"Grey Valley Great House","1250","1300"
"Huvatuqwa","1150","1225"
"Tawa'ovi","1200","1300"
"Cottonwood Seep","550","850"
"Achiya: deyata","1200","1450"
"Pescado Mesa","1200","1300"
"NA 4230","1050","1250"
"NA 4232","1100","1250"
"NA 11547","625","950"
"Megalith Site","550","950"
"WR-22","875","1150"
"WR-4","550","1050"
"Umtaqa","600","1225"
"Tukinobi","625","950"
"NA 8163","1050","1300"
"Madera Quemada","1000","1350"
"Geronimo Pass","1275","1400"
"Sedillo Pueblo","1150","1275"
"Patty Alsenay Site","1050","1275"
"Upper East Fork Pueblo","1050","1275"
"Hogay","825","1300"
"76 Draw","1200","1450"
"Paquime","1200","1450"
"Tibidehuachi","1200","1450"
"Imuris","700","1150"
"Chinapa","1200","1450"
"Mesa de Buenavista","1200","1450"
"Ojo Negro","1300","1450"
"Yunqueyunque","1350","1550"
"Pojoaque","1350","1900"
"LA 69","1350","1500"
"Pueblo del Encierro","1325","1550"
"Howiri","1400","1550"
"Agua Fria School House","1200","1425"
"Upper Arroyo Hondo","1150","1400"
"Frijolito","1350","1450"
"Los Aguajes","1350","1450"
"Pueblo Alamo","1150","1425"
"Be-jui'Tu-ay","1325","1600"
"Arroyo Hondo","1300","1425"
"La Cieneguilla","1325","1450"
"Old Nambe","1350","1925"
"Sahkeowinge","1350","1450"
"Pueblo Pardo","1400","1675"
"San Antonio","1175","1925"
"Patokwa","1500","1750"
"Cundiyo","1350","1450"
"San Marcos","1350","1525"
"Pueblo Canada","1150","1350"
"Cuyamungue","1350","1450"
"Rowe","1300","1425"
"Pueblo Blanco--Rio Grande","1350","1500"
"Acoma","1200","1400"
"Perage","1350","1500"
"LA 118","1150","1350"
"Duchess Castle","1350","1550"
"LA 119","1150","1350"
"Wiyo","1300","1450"
"Pa'ako","1200","1700"
"Big Otowi","1350","1550"
"Tsirege","1400","1700"
"Caja del Rio North","1200","1450"
"Pueblo Largo","1325","1450"
"Kuaua","1325","1600"
"Kite Site","1175","1550"
"Tsankawi","1350","1550"
"Rainbow House","1400","1550"
"Tiffany Pueblo","1325","1675"
"Tash-Katze","1325","1500"
"Yapashi","1400","1450"
"Te'ewi","1150","1350"
"Ku","1350","1550"
"Nambe Bugge","1325","1450"
"Ojo del Zorra","1300","1450"
"Old Taos","1275","1425"
"Pot Creek","1150","1400"
"Pueblo Sarco","1150","1450"
"Poshuouingue","1400","1550"
"Abiquiu","1350","1550"
"Las Huertas","1325","1525"
"Estancia Acomilla","1475","1675"
"Cerro Indio","1325","1500"
"Pueblo Corrales","1300","1525"
"Pueblo Calabsallas","1325","1600"
"Piedras Marcadas","1400","1700"
"Pesedeuinge","1350","1550"
"Tsiping","1200","1450"
"Sapawe","1350","1550"
"Cerro Colorado","1575","1750"
"Puaray (Bandelier)","1400","1900"
"LA 350","1150","1350"
"LA 351","1150","1350"
"LA 355","1150","1350"
"Kwastiyukwa","1325","1750"
"San Pasqual","1325","1600"
"Water Canyon","1475","1600"
"Hummingbird","1200","1500"
"Foothill Road","875","1400"
"LA 587","1175","1400"
"Pose'uinge","1350","1550"
"Puaray (Schroeder)","1400","1500"
"Bulman","1300","1425"
"Pueblo Maigua","1125","1675"
"Shipman","1325","1500"
"Las Canas","1325","1500"
"San Pasqualito","1325","1500"
"Qualacu","1325","1550"
"Pueblito Pueblo","1100","1425"
"La Hija del Nido","1100","1275"
"Sycamore Well","1200","1450"
"LA 5966","1200","1300"
"LA 5967","1200","1450"
"LA 5969","1200","1300"
"LA 5970","1200","1450"
"LA 5971","1200","1300"
"LA 5972","1200","1300"
"LA 5974","1300","1325"
"LA 5976","1200","1325"
"LA 5982","1200","1300"
"LA 5991","1200","1300"
"LA 5994","1250","1300"
"LA 5995","1250","1300"
"LA 5996","1250","1300"
"Veranito Village","1100","1275"
"Alfred Herrera","1325","1500"
"Tesuque Williams","875","1200"
"LA 6581","1350","1775"
"LA 6584","1400","1550"
"LA 6595","1350","1450"
"LA 6597","1350","1450"
"Buena Vista A","1400","1550"
"Buena Vista B","1350","1550"
"LA 9007","1200","1550"
"Gypsum Spring Ruin","1325","1675"
"LA 9009","1175","1550"
"Lost Ruin","1175","1400"
"LA 9014","1200","1400"
"LA 9016","1175","1450"
"Axtell Ruin","1175","1550"
"LA 9032","1125","1350"
"LA 9043","1475","1625"
"Pueblo del Ojito","1325","1450"
"Prieta Vista","1100","1350"
"LA 9781","1150","1350"
"LA 9845","1150","1350"
"LA 9862","1150","1350"
"LA 9865","1150","1350"
"LA 9867","1150","1350"
"LA 10510","1050","1450"
"LA 10999","1300","1450"
"Citadel","1200","1300"
"LA 11659","1200","1300"
"LA 11660","1050","1300"
"LA 11661","1200","1300"
"LA 11662","1050","1300"
"LA 11666","875","1300"
"LA 11668","1000","1300"
"Lizard House","1050","1150"
"Penole","1050","1325"
"LA 11734","1200","1300"
"Fifty Cent house","1150","1350"
"Double Crossing","1175","1400"
"LA 12211","1150","1350"
"LA 12609","1150","1350"
"Guaje Mesa Pueblo","1150","1350"
"El Pueblito","1150","1300"
"Carnue","1750","1825"
"LA 13485","900","1400"
"LA 13490","1175","1400"
"Long House--Northern Rio Grande","1350","1700"
"Montoya","1000","1300"
"LA 16056","1150","1200"
"LA 16062","1150","1350"
"Nuestra Senora","1475","1625"
"LA 20904","1000","1225"
"LA 21259","1150","1350"
"LA 21389","1150","1350"
"LA 21427","1150","1350"
"LA 21430","1150","1350"
"LA 21475","1150","1350"
"LA 21591","1200","1450"
"LA 21601","1150","1350"
"Chupaderos Mesa Village","1150","1300"
"Segazlin Mesa Group","1225","1300"
"Pueblo Cardo","1150","1350"
"Gran Quivira","1175","1675"
"Santa Clara--Northern Chihuahua","1200","1450"
"Las Montezumas","1200","1450"
"San Jeronimo","1200","1450"
"Montezuma Alta","1200","1450"
"Colonia Dublan","1200","1450"
"Walsh","1000","1350"
"Brand 49a","1200","1450"
"Brand 69","1200","1450"
"Brand 70","1200","1450"
"Brand 12","900","1125"
"Brand 13","900","1125"
"Brand 22","1200","1450"
"Brand 28","900","1450"
"Brand 34","1100","1450"
"Brand 43","1200","1450"
"Brand 46","1200","1450"
"Brand 48","1200","1450"
"Burnt Corn Pueblo","1275","1425"
"San Miguel","1325","1525"
"Hupobi","1350","1550"
"Pottery Mound","1350","1500"
"Alameda School","1325","1500"
"Hulbert","725","1400"
"Wabakwa","1325","1750"
"Totaskwinu","1325","1700"
"Sevilleta Pueblo","900","1625"
"San Francisco","1475","1625"
"Abeytas Pueblo","1325","1500"
"Shufinne","1150","1350"
"Santa Rosa de Lima","1750","1900"
"Tsama","1350","1550"
"LA 910","1400","1550"
"Cuchillo Negro","900","1200"
"Valencia","1325","1500"
"Caledonio","1200","1500"
"City Hall Site","1150","1425"
"Tesuque","1350","1550"
"LA 1069","1175","1500"
"LA 1070","1325","1425"
"LA 1071","1175","1500"
"LA 1072","1325","1500"
"Pueblo Oso Negro","1325","1500"
"Pueblito de Pasto","1325","1500"
"Arenoso","1325","1425"
"Pueblo de las Dunes","1325","1450"
"LA 1082","900","1125"
"LA 1131","1200","1425"
"LA 1134","1125","1500"
"LA 1138","725","1450"
"Gallinas Springs","1250","1300"
"Arcillo","1325","1500"
"Three Rivers","1200","1400"
"Oak Tree","1200","1300"
"LA 1339","1200","1300"
"LA 1340","1050","1300"
"Henderson","1175","1450"
"Astialakwa","1325","1750"
"Pueblo Quatro Cerros","1200","1450"
"Pueblo San Acacia","1325","1500"
"Piedras Negras","1100","1275"
"LA 2986","1150","1425"
"LA 3120","1650","1925"
"LA 3121","1200","1450"
"Kuapa","1200","1350"
"Palisade","1300","1450"
"LA 3662","1150","1350"
"LA 3765","1150","1450"
"LA 3769","1150","1350"
"LA 3802","1150","1350"
"Shohakka","1325","1500"
"LA 4607","1150","1350"
"LA 4616","1150","1350"
"LA 4618","1150","1300"
"LA 4619","1150","1400"
"LA 4624","1150","1350"
"LA 4708","1150","1350"
"Los Canoncitos","1100","1275"
"Bowling Green","1100","1275"
"LA 29746","1200","1450"
"LA 29764","1150","1350"
"LA 29785","1150","1350"
"LA 29798","1150","1350"
"LA 29819","1150","1350"
"LA 29837","1150","1350"
"Culberson Ruin","1200","1450"
"Upper las Canas","1550","1625"
"Pueblo de Arena","1475","1700"
"Pueblo de la Presilla","1325","1500"
"Presilla del Sur","1050","1275"
"Plaza Montoya","1525","1625"
"Paragas Pueblo","1325","1900"
"Abajo de Piedres Negras","1100","1400"
"Upper Pueblito Village","1100","1275"
"LA 49002","1100","1350"
"Longbottom Canyon","1000","1300"
"Ladera","1325","1500"
"Los Trujillos","1150","1500"
"Pueblo Los Padillas","1300","1450"
"LA 50519","1125","1350"
"LA 50766","1000","1300"
"LA 50972","1400","1600"
"Kekwaiye","1350","1550"
"Timberlake","1200","1450"
"Metate","1200","1450"
"Brushy Creek","1200","1450"
"Alamo Hueco","1200","1450"
"Burnt Mesa","1150","1350"
"Hilltop Pueblo--Northern Rio Grande","1350","1550"
"Rattail Ruin","1050","1300"
"LA 72149","1175","1300"
"Sandoval Pueblo","1350","1450"
"Bandelier Boundary","1150","1350"
"LA 105215","900","1125"
"Kiva of Tears","1325","1500"
"LA 119398","1050","1300"
"LA 128692","1300","1450"
"Willow Springs","900","1125"
"Navahuu","1150","1450"
"Loma de Montezuma","1200","1450"
"Ojo del Mesquite","900","1350"
"El Pueblito del Cerro de Montezuma","1200","1450"
"Rancho Blanco","1200","1450"
"Llano Largo","1200","1450"
"Malpais","1350","1450"
"Brand 26a","1200","1450"
"Arroyo de los Alisos A","900","1450"
"Carretas C","1200","1450"
"Brand 32b","1200","1450"
"Arroyo Nogales","1200","1450"
"Ojos de San Francisco","1200","1450"
"Arroyo de la Varras","1200","1450"
"Cerro del Presidio","1200","1450"
"Brand 51","1200","1450"
"Ramos","1200","1450"
"La Cienega--Northern Chihuahua","1000","1450"
"La Cruz","1200","1450"
"Janos","1200","1450"
"Garcia","1350","1450"
"Olla Cave, Cave Valley","1200","1450"
"Upper Tinaja","1200","1450"
"Lower Piedras Verdes","1200","1450"
"San Buenaventura","1200","1450"
"San Miguel de Babicora","1200","1450"
"Valdez Post Office","1125","1350"
"LA 271","1300","1450"
"LA 338","1150","1350"
"Vulture Gulch","1075","1350"
"LA 1338","1000","1300"
"Abajo Confluence","1050","1700"
"Ladera del Sur I","875","1900"
"Pioge","1350","1900"
"Ponsipa'akeri","1350","1525"
"Pueblo Amelia","1325","1500"
"Taos","1300","1925"
"Tovakwa","1300","1750"
"Cerro de Trincheras","1200","1450"
"LA 11719","1050","1300"
"LA 11721","1200","1300"
"LA 11722","1000","1300"
"MW 94-243","1200","1450"
"MW 95-360","1200","1450"
"MW 94-244","1350","1450"
"MW 95-361","1200","1450"
"MW 94-246","1200","1450"
"MW 95-364","1200","1450"
"MW 94-248","1200","1450"
"MW 94-249","1200","1450"
"MW 95-369","1200","1450"
"MW 95-370","1200","1450"
"MW 94-253","1200","1450"
"MW 95-371","1200","1450"
"MW 94-254","1200","1450"
"MW 94-256","1200","1450"
"MW 94-257","1200","1450"
"MW 95-375","1200","1450"
"MW 94-258","1200","1450"
"MW 95-376","1200","1450"
"MW 94-259","1200","1450"
"MW 95-378","1200","1450"
"MW 94-260","1200","1450"
"MW 95-379","1200","1450"
"MW 95-381","1200","1450"
"MW 95-382","1200","1450"
"MW 95-383","1200","1450"
"MW 95-385","1200","1450"
"MW 95-386","1200","1450"
"MW 94-268","1350","1450"
"MW 94-271","1200","1450"
"MW 94-272","1200","1450"
"MW 95-391","1200","1450"
"MW 94-273","1200","1450"
"MW 94-276","1200","1450"
"MW 94-278","1200","1450"
"MW 94-279","1200","1450"
"MW 94-282","1350","1450"
"MW 95-402","1200","1450"
"MW 94-283","1200","1450"
"MW 95-403","1200","1450"
"MW 94-284","1200","1450"
"MW 95-404","1200","1450"
"MW 94-285","1200","1450"
"MW 95-406","1200","1450"
"MW 95-407","1200","1450"
"MW 94-288","1200","1450"
"MW 94-290","1200","1450"
"MW 94-292","1200","1450"
"MW 94-293","1200","1450"
"MW 95-413","1200","1450"
"MW 94-295","1200","1450"
"MW 94-296","1200","1450"
"MW 94-297","1200","1450"
"MW 95-416","1200","1450"
"MW 94-298","1200","1450"
"MW 95-417","1200","1450"
"MW 94-299","1200","1450"
"MW 94-300","1200","1450"
"MW 94-301","1200","1450"
"MW 94-303","1200","1450"
"MW 95-422","1200","1450"
"MW 94-304","1200","1450"
"MW 95-424","1200","1450"
"MW 94-306","1200","1450"
"MW 95-425","1200","1450"
"MW 95-426","1200","1450"
"MW 95-427","1200","1450"
"MW 94-309","1200","1450"
"MW 95-428","1200","1450"
"MW 94-310","1200","1450"
"MW 94-311","1200","1450"
"MW 95-431","1200","1450"
"MW 94-312","1200","1450"
"MW 94-313","1200","1450"
"MW 95-433","1200","1450"
"MW 94-314","1200","1450"
"MW 94-315","1200","1450"
"MW 94-316","1200","1450"
"MW 94-317","1200","1450"
"MW 95-437","1200","1450"
"MW 94-318","1200","1450"
"MW 94-319","1200","1450"
"MW 95-440","1200","1450"
"MW 94-321","1200","1450"
"MW 95-441","1200","1450"
"MW 94-322","1200","1450"
"MW 95-442","1200","1450"
"MW 94-323","1200","1450"
"MW 94-324","1200","1450"
"MW 94-325","1200","1450"
"MW 95-446","1200","1450"
"MW 94-327","1200","1450"
"MW 95-447","1200","1450"
"MW 95-448","900","1125"
"MW 94-329","1200","1450"
"MW 94-330","1200","1450"
"MW 95-450","1200","1450"
"MW 94-331","1200","1450"
"MW 94-332","1200","1450"
"MW 94-333","1200","1450"
"MW 95-453","1200","1450"
"MW 94-334","1200","1450"
"MW 95-454","1200","1450"
"MW 94-336","1200","1450"
"MW 95-456","1200","1450"
"MW 94-337","1200","1450"
"MW 95-458","1200","1450"
"MW 94-338","1200","1450"
"MW 95-460","1200","1450"
"MW 94-341","1200","1450"
"MW 94-342","1200","1450"
"MW 94-343","1200","1450"
"MW 94-344","1200","1450"
"MW 94-345","1200","1450"
"MW 95-466","1200","1450"
"MW 94-346","1350","1450"
"MW 95-468","1200","1450"
"MW 95-469","1200","1450"
"MW 95-472","1200","1450"
"MW 94-351","1200","1450"
"MW 94-353","1200","1450"
"MW 95-475","1200","1450"
"MW 94-354","1200","1450"
"MW 95-477","1350","1450"
"MW 95-478","1200","1450"
"MW 95-479","1200","1450"
"MW 95-482","1200","1450"
"MW 95-484","1200","1450"
"MW 95-485","1200","1450"
"MW 95-487","1200","1450"
"MW 95-488","1200","1450"
"MW 95-489","1200","1450"
"MW 95-493","1200","1450"
"MW 95-494","1200","1450"
"MW 95-495","1200","1450"
"MW 95-496","1200","1450"
"MW 95-499","1200","1450"
"MW 95-501","1200","1450"
"MW 95-502","1200","1450"
"MW 95-503","1200","1450"
"MW 95-504","1200","1450"
"MW 95-505","1200","1450"
"MW 95-506","1200","1450"
"MW 95-507","1200","1450"
"MW 95-508","1200","1450"
"MW 95-509","1200","1450"
"MW 95-511","1200","1450"
"MW 95-512","1200","1450"
"MW 95-513","1200","1450"
"MW 95-515","1200","1450"
"MW 95-516","1200","1450"
"MW 95-517","1200","1450"
"MW 95-519","1200","1450"
"MW 95-520","1200","1450"
"MW 95-521","1200","1450"
"MW 95-523","1200","1450"
"MW 95-524","1200","1450"
"MW 95-525","1200","1450"
"MW 95-527","1200","1450"
"MW 95-530","1200","1450"
"MW 95-531","1200","1450"
"MW 95-537","1200","1450"
"MW 95-539","1200","1450"
"MW 95-543","1200","1450"
"MW 95-544","1200","1450"
"MW 95-547","1200","1450"
"MW 95-548","1200","1450"
"MW 95-549","1200","1450"
"MW 95-550","1200","1450"
"MW 95-551","1200","1450"
"MW 95-552","1200","1450"
"MW 95-563","1200","1450"
"MW 95-564","1200","1450"
"El Nido de las Piedras","1175","1400"
"Santa Clara","1350","1450"
"Casa Colorado--Jornada","1325","1500"
"LA 10119","1325","1600"
"LA 12120","1125","1500"
"LA 12121","1150","1350"
"LA 12122","1325","1425"
"LA 12123","1150","1300"
"LA 12124","1325","1500"
"LA 12125","1325","1425"
"LA 12126","1150","1500"
"LA 12127","1325","1500"
"LA 12128","1150","1300"
"LA 12144","1325","1500"
"Quarteles Pueblo","1350","1450"
"Powakwaiye","1125","1200"
"Arroyo Negro","950","1150"
"LA 145","1150","1350"
"Chimayo","875","1200"
"K’ate Ouinge","1300","1450"
"LA 336","1150","1350"
"LA 382","1150","1350"
"LA 734","1350","1550"
"LA 796","1350","1550"
"LA 833","1150","1350"
"LA 835","875","1200"
"LA 874","1350","1550"
"Ogapoge","1300","1900"
"LA 1067","1150","1325"
"LA 1282","1150","1350"
"LA 3444","1150","1350"
"Agawi","1350","1450"
"Agawano","1350","1450"
"LA 3759","1150","1450"
"LA 3763","1150","1350"
"LA 3783","1300","1450"
"LA 3812","1150","1450"
"LA 3848","1150","1350"
"Casa del Rito","1125","1300"
"LA 4693","1150","1350"
"Saltbush Pueblo","1150","1350"
"LA 6169","1125","1350"
"LA 6170","800","1050"
"LA 6171","1150","1350"
"LA 6188","1150","1350"
"LA 82601","1125","1200"
"LA 86534","1150","1350"
"LA 90001","850","925"
"LA 90007","1050","1300"
"Oyawidi","1350","1450"
"LA 102964","1150","1550"
"LA 12567","1325","1425"
"LA 12568","1425","1550"
"LA 12575","1150","1350"
"LA 12577","1325","1450"
"LA 12579","1150","1350"
"LA 12581","1350","1900"
"LA 12582","1150","1450"
"LA 12587","1175","1350"
"LA 16036","1200","1300"
"LA 16048","1325","1450"
"LA 16051","1400","1550"
"LA 16058","1400","1600"
"LA 16071","1150","1350"
"LA 16086","1400","1525"
"LA 16097","1475","1525"
"LA 16104","1150","1350"
"LA 16109","1150","1350"
"LA 16114","1150","1550"
"LA 21432","1200","1450"
"LA 21594","1200","1450"
"LA 60550","1400","1600"
"LA 66170","1150","1300"
"LA 66171","1150","1350"
"LA 143460","1150","1425"
"Tsigubu'u Pueblo","1150","1450"
"LA 138051","1325","1500"
"LA 140968","1150","1300"
"LA 140978","1150","1450"
"LA 140980","1150","1350"
"LA 140982","1150","1350"
"LA 140984","1150","1550"
"LA 140988","1150","1350"
"LA 140989","1350","1450"
"LA 140991","1150","1350"
"LA 140992","1150","1550"
"LA 140993","1400","1600"
"LA 140994","1150","1300"
"LA 140995","1400","1600"
"LA 140996","1350","1550"
"LA 140997","1150","1350"
"LA 140998","1350","1550"
"LA 140999","1150","1350"
"LA 141000","1150","1350"
"LA 141001","1400","1550"
"LA 141002","1400","1550"
"LA 141006","1150","1350"
"LA 141007","1150","1300"
"LA 141009","1150","1300"
"LA 141010","1400","1550"
"LA 141011","1400","1550"
"LA 141020","1150","1350"
"LA 141038","1350","1550"
"LA 141039","1150","1550"
"LA 141051","1150","1300"
"LA 141052","1300","1450"
"LA 141054","1150","1450"
"LA 141055","1150","1350"
"LA 141060","1400","1550"
"LA 141061","1475","1525"
"LA 141068","1400","1550"
"LA 141069","1150","1350"
"LA 141072","1300","1450"
"LA 141075","1150","1600"
"LA 141077","1400","1600"
"LA 141080","1150","1350"
"LA 141084","1150","1350"
"LA 141085","1150","1350"
"LA 141086","1350","1550"
"LA 141088","1150","1350"
"LA 141092","1150","1350"
"LA 141093","1150","1550"
"LA 141094","1400","1550"
"LA 141097","1350","1550"
"LA 141098","1400","1600"
"LA 141099","1150","1450"
"LA 141101","1150","1550"
"LA 141102","1350","1550"
"LA 141103","1150","1350"
"LA 141104","1400","1550"
"LA 141106","1150","1350"
"LA 141107","1400","1550"
"LA 141108","1400","1550"
"LA 141109","1200","1350"
"LA 141110","1150","1350"
"LA 141111","1350","1550"
"LA 141116","1400","1550"
"LA 141117","1150","1350"
"LA 141120","1150","1450"
"LA 133982","1500","1600"
"LA 133984","1350","1550"
"LA 133985","1200","1500"
"LA 133986","1150","1500"
"LA 133987","1350","1450"
"LA 133988","1150","1300"
"LA 134004","600","1200"
"LA 134010","1150","1350"
"LA 134013","1150","1350"
"LA 134015","1350","1450"
"LA 134016","1325","1425"
"LA 134017","1325","1450"
"LA 134018","1400","1550"
"LA 134023","1350","1450"
"LA 144713","1200","1350"
"LA 144716","1150","1450"
"LA 84151","1150","1300"
"LA 84152","1150","1300"
"LA 84157","1325","1500"
"LA 84160","1325","1500"
"LA 84166","1325","1500"
"LA 88935","1325","1500"
"LA 88937","1325","1500"
"LA 88941","1150","1350"
"LA 88945","1325","1500"
"LA 88946","1325","1500"
"LA 88949","1325","1500"
"LA 88950","1325","1450"
"LA 88951","1150","1350"
"LA 88959","1325","1500"
"LA 88960","1150","1350"
"LA 88963","1150","1300"
"LA 102965","1200","1550"
"LA 102972","1150","1350"
"LA 102982","1150","1350"
"LA 102996","1150","1350"
"LA 103001","1150","1600"
"LA 103005","1150","1300"
"LA 103013","1150","1300"
"LA 103015","1150","1350"
"LA 103016","1150","1350"
"LA 103018","1150","1350"
"LA 134048","1150","1300"
"LA 134066","1150","1500"
"LA 134074","1150","1425"
"LA 134077","1150","1350"
"LA 134082","1150","1450"
"LA 134084","1150","1350"
"LA 135058","1150","1300"
"LA 138073","1150","1450"
"LA 138081","1150","1550"
"LA 138082","1150","1300"
"LA 138091","1200","1450"
"LA 138097","1150","1550"
"LA 138100","1150","1300"
"LA 148347","1150","1350"
"LA 148504","1125","1200"
"LA 102070","1200","1450"
"LA 110716","1150","1350"
"LA 115133","1150","1300"
"LA 115137","1150","1300"
"LA 101453","1350","1550"
"LA 127092","1400","1600"
"LA 128411","1350","1550"
"LA 128416","1500","1700"
"Puebla Point Site","1125","1200"
"LA 135290","1150","1350"
"LA 9000001","1150","1350"
"LA 104","1150","1350"
"LA 120","1150","1350"
"LA 121","1150","1350"
"LA 123","1150","1350"
"LA 127","1150","1350"
"LA 318","1150","1350"
"LA 384","1150","1300"
"LA 404","1150","1350"
"LA 405","1150","1350"
"LA 407","1150","1300"
"LA 422","1150","1350"
"LA 480","1150","1350"
"LA 515","1150","1350"
"LA 528","1150","1350"
"LA 534","1150","1350"
"LA 613","1150","1350"
"LA 622","1150","1350"
"LA 626","1150","1350"
"LA 627","1150","1350"
"LA 629","1150","1350"
"LA 637","1150","1300"
"LA 638","1200","1350"
