Year,Population
-650,1
-200,1000
-75,28000
75,40000
175,78000
300,87000
450,100000
575,33000
750,29000
1025,20000
1250,20000
1350,44000
1521,44000
1600,5000
1800,14000
2000,44653
2005,46779
2010,53010
2015,56993
2020,58000
