Year,Population
1000,0
1100,100
1325,1000
1519,212000
1600,20000
1746,90000
1790,104760
1800,115897
1810,128218
1820,151726
1830,179545
1840,207887
1850,220623
1860,228739
1870,235285
1880,358543
1890,433344
1900,541516
1910,720753
1921,926800
1930,1363700
1940,1974000
1950,3365081
1955,4293878
1960,5479184
1965,6969157
1970,8830947
1975,10733860
1980,13027620
1985,14278216
1990,15642318
1995,17017468
2000,18457028
2005,19276064
2010,20136680
2015,21339780
2020,21782378
